time,vs,hs,dist,alt,ang,weight,acc,fuel,dvs,NN
0.0,24.8,932.0,181000.0,13748.0,58.3,286.0,0.0,121.0,30.0,0.7
10.0,31.28816695173903,930.6381775076109,171683.0619650943,13461.583668884668,58.3,285.69755340858717,1.4025254850660673,120.69755340858718,30.0,0.6360287296453451
20.0,29.621322865456733,915.9426536313528,162463.35795527193,13161.612249065725,58.3,284.0171052718116,0.8767103267791193,119.01710527181157,30.0,0.3952392526566817
30.0,29.709660094506535,903.9029897333738,153361.41170689926,12859.609268116887,58.3,282.5318951145893,1.6088367745171868,117.53189511458929,30.0,0.7215042902133079
40.0,30.235669324291848,892.3761793999569,144385.69502913326,12559.653713150285,58.3,281.18215167691324,1.6538417012082147,116.18215167691325,30.0,0.7381440763154483
50.0,30.09217237409914,879.5731613708344,135535.65825076742,12260.232004987505,58.3,279.72174822720297,1.387274960536399,114.72174822720298,30.0,0.6159539321159769
60.0,29.909296386702582,866.5132032632439,126810.92629305537,11959.907674386986,58.3,278.2065984213074,1.4547643753421107,113.20659842130736,30.0,0.6424207116959153
70.0,29.996057253734488,853.6906962075504,118214.85513510463,11659.533911510454,58.3,276.72054710514357,1.586971674373828,111.72054710514357,30.0,0.6970597936080817
80.0,30.056367730734543,840.622870057906,109750.1051345584,11359.519265802957,58.3,275.22818082486987,1.5778707096462756,110.22818082486987,30.0,0.6893245793536363
90.0,30.01477260486909,827.1855693571024,101418.08410449541,11059.47733564166,58.3,273.7025920257752,1.5626202838933467,108.70259202577517,30.0,0.6788781302439074
100.0,29.99476790901175,813.5755246805627,93220.68389647818,10759.299950370174,58.3,272.1605511043141,1.60419124625928,107.16055110431412,30.0,0.6930120216803843
110.0,30.012588767475883,799.8153515184208,85160.25844987146,10459.145416109575,58.3,270.6105684405948,1.643793941176516,105.61056844059483,30.0,0.7060762108269566
120.0,30.01958182705714,785.8230382156642,77238.98393871024,10159.042444422521,58.3,269.04560590602534,1.6617973165467763,104.04560590602533,30.0,0.7096813744814833
130.0,30.01231142292683,771.5898474642373,69458.92399009164,9858.929398488044,58.3,267.46281900210647,1.681984126098934,102.4628190021065,30.0,0.714076533147961
140.0,30.009462191059445,757.1426186349377,61822.26145306868,9558.79737793455,58.3,265.86494771329103,1.7111456188073315,100.86494771329104,30.0,0.7221168896413305
150.0,30.012176262183615,742.4796982143861,54331.26537596963,9258.669750776196,58.3,264.2530479275179,1.740104212290534,99.2530479275179,30.0,0.7298854631893432
160.0,30.013371041029597,727.5861317423916,46988.2077384712,8958.55029854713,58.3,262.62612016049417,1.7661115993541765,97.62612016049418,30.0,0.736233392236242
170.0,30.01232291675992,712.4572213771335,39795.37580326828,8658.430420587843,58.3,260.9837433067301,1.7925698877739473,95.9837433067301,30.0,0.7425898403970951
180.0,30.01166325899673,697.0936212765957,32755.103380326414,8358.308137695843,58.3,259.326286268166,1.8207674018714575,94.32628626816594,30.0,0.7494807118816863
190.0,30.0119092110161,681.4924990456195,25869.768759812567,8058.186505757355,58.3,257.6539717758681,1.8495383706386364,92.65397177586811,30.0,0.7564141383284323
200.0,30.01213120940808,665.6486313628756,19141.784022945147,7758.066655505515,58.3,255.966726983672,1.8782608131954972,90.96672698367202,30.0,0.7631305917068915
210.0,30.011998892921092,649.5577109436022,12573.595389747748,7457.9476394633675,58.3,254.26450238722765,1.9072932089110728,89.26450238722765,30.0,0.7697729502703373
220.0,30.011803444269706,633.2163756081469,6167.687789739012,7157.828896183928,58.3,252.5473664794055,1.9369421580652253,87.5473664794055,30.0,0.7764597476862048
230.0,30.011727082385182,616.6210253202855,-73.41384581541547,6857.71068736001,58.3,250.81540770384748,1.9671428880455524,85.81540770384748,30.0,0.7831583261537606
240.0,30.01170288471722,599.7675966233461,-6147.145266622168,6557.593304937322,58.3,249.0686834229727,1.9977729942316977,84.06868342297268,30.0,0.7898137927797761
250.0,30.011645627419867,582.6519356765441,-12050.902806591417,6257.476751919665,58.3,247.30724389400936,2.028833020977937,82.30724389400936,30.0,0.7964207979987467
260.0,30.011555650374696,565.2699647016204,-17782.04243356141,5957.360945580927,58.3,245.5311559255076,2.0603770571699798,80.53115592550759,30.0,0.8029948579195886
270.0,30.011464619447327,547.6175929173911,-23337.878852994603,5657.245882310086,58.3,243.7405009031994,2.092430056880155,78.7405009031994,30.0,0.8095396034426651
280.0,30.011383326698784,529.6906312224122,-28715.684905669066,5357.131614684681,58.3,241.93536618137549,2.124988295429694,76.93536618137549,30.0,0.8160473355332063
290.0,30.011304093797413,511.48479523864415,-33912.69102193509,5057.018187109178,58.3,240.11584318999437,2.1580487164101028,75.11584318999437,30.0,0.8225106145807887
300.0,30.011219777483753,492.9957350539398,-38926.08458473768,4756.905621494053,58.3,238.28202988970642,2.191618995297996,73.28202988970642,30.0,0.8289260681657864
310.0,30.011130034536155,474.2190442745867,-43753.00923225532,4456.793933982946,58.3,236.43403248102277,2.2257110595173315,71.43403248102275,30.0,0.8352918110147498
320.0,30.01103728302189,455.1502524173236,-48390.564158514324,4156.683146546399,58.3,234.57196539609004,2.260334959879231,69.57196539609004,30.0,0.8416051015751803
330.0,29.357124471312833,434.7245549879498,-52833.68127115252,3857.8826030158452,58.3,232.56002221575721,2.708978069392849,67.5600222157572,24.0,1.0
340.0,27.23211984807466,411.57665823394217,-57053.796475061965,3576.0679275126486,58.3,230.34002221575724,2.735086998515113,65.34002221575726,24.0,1.0
350.0,25.190541778079186,388.2046885208146,-61041.20387187504,3315.044014505423,58.3,228.12002221575727,2.7617040971710156,63.12002221575729,24.0,1.0
